major_uid,major_no,major_code,major_name,category_id,category_name,status,source_relative_path
social_036,36,036,미디어커뮤니케이션학과,social,사회계열,complete_two_page_visible,social/majors/36_#Ubbf8#Ub514#Uc5b4#Ucee4#Ubba4#Ub2c8#Ucf00#Uc774#Uc158#Ud559#Uacfc.json
social_037,37,037,법학과,social,사회계열,complete_two_page_visible,social/majors/37_#Ubc95#Ud559#Uacfc.json
social_038,38,038,부동산학과,social,사회계열,complete_two_page_visible,social/majors/38_#Ubd80#Ub3d9#Uc0b0#Ud559#Uacfc.json
social_039,39,039,사회복지학과,social,사회계열,complete_two_page_visible,social/majors/39_#Uc0ac#Ud68c#Ubcf5#Uc9c0#Ud559#Uacfc.json
social_040,40,040,사회학과,social,사회계열,complete_two_page_visible,social/majors/40_#Uc0ac#Ud68c#Ud559#Uacfc.json
social_041,41,041,상담심리학과,social,사회계열,complete_two_page_visible,social/majors/41_#Uc0c1#Ub2f4#Uc2ec#Ub9ac#Ud559#Uacfc.json
social_042,42,042,세무학과,social,사회계열,complete_two_page_visible,social/majors/42_#Uc138#Ubb34#Ud559#Uacfc.json
social_043,43,043,소비자학과,social,사회계열,complete_two_page_visible,social/majors/43_#Uc18c#Ube44#Uc790#Ud559#Uacfc.json
social_044,44,044,식품자원경제학과,social,사회계열,complete_two_page_visible,social/majors/44_#Uc2dd#Ud488#Uc790#Uc6d0#Uacbd#Uc81c#Ud559#Uacfc.json
social_045,45,045,신문방송학과,social,사회계열,complete_two_page_visible,social/majors/45_#Uc2e0#Ubb38#Ubc29#Uc1a1#Ud559#Uacfc.json
social_046,46,046,심리학과,social,사회계열,complete_two_page_visible,social/majors/46_#Uc2ec#Ub9ac#Ud559#Uacfc.json
social_047,47,047,아동학과,social,사회계열,complete_two_page_visible,social/majors/47_#Uc544#Ub3d9#Ud559#Uacfc.json
social_048,48,048,언론정보학과,social,사회계열,complete_two_page_visible,social/majors/48_#Uc5b8#Ub860#Uc815#Ubcf4#Ud559#Uacfc.json
social_049,49,049,응용통계학과,social,사회계열,complete_two_page_visible,social/majors/49_#Uc751#Uc6a9#Ud1b5#Uacc4#Ud559#Uacfc.json
social_050,50,050,정치외교학과,social,사회계열,complete_two_page_visible,social/majors/50_#Uc815#Uce58#Uc678#Uad50#Ud559#Uacfc.json
social_051,51,051,지리학과,social,사회계열,complete_two_page_visible,social/majors/51_#Uc9c0#Ub9ac#Ud559#Uacfc.json
social_052,52,052,항공서비스학과,social,사회계열,complete_two_page_visible,social/majors/52_#Ud56d#Uacf5#Uc11c#Ube44#Uc2a4#Ud559#Uacfc.json
social_053,53,053,행정학과,social,사회계열,complete_two_page_visible,social/majors/53_#Ud589#Uc815#Ud559#Uacfc.json
social_054,54,054,호텔경영학과,social,사회계열,complete_two_page_visible,social/majors/54_#Ud638#Ud154#Uacbd#Uc601#Ud559#Uacfc.json
social_055,55,055,회계학과,social,사회계열,complete_two_page_visible,social/majors/55_#Ud68c#Uacc4#Ud559#Uacfc.json
